#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"amdfendrsr","C:\WINDOWS\system32\amdfendrsr.exe","2836"
"amdow","C:\Program Files\AMD\CNext\CNext\amdow.exe","12856"
"AMDRSServ","C:\Program Files\AMD\CNext\CNext\AMDRSServ.exe","12636"
"AMDRSSrcExt","C:\Program Files\AMD\CNext\CNext\AMDRSSrcExt.exe","14140"
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","13020"
"atieclxx","C:\WINDOWS\System32\DriverStore\FileRepository\u0361132.inf_amd64_4863ccf4c1b997c9\B361196\atieclxx.exe","3100"
"atiesrxx","C:\WINDOWS\System32\DriverStore\FileRepository\u0361132.inf_amd64_4863ccf4c1b997c9\B361196\atiesrxx.exe","2844"
"audiodg","C:\WINDOWS\system32\AUDIODG.EXE","20964"
"AUEPLauncher","C:\Program Files\AMD\Performance Profile Client\AUEPLauncher.exe","11692"
"AUEPMaster","C:\Program Files\AMD\Performance Profile Client\AUEPMaster.exe","10564"
"AUEPUF","C:\Program Files\AMD\Performance Profile Client\AUEPUF.exe","9584"
"Calculator","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2005.23.0_x64__8wekyb3d8bbwe\Calculator.exe","14268"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","1360"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","2580"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","3184"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","4408"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5312"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5344"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6032"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6364"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6692"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","7008"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","8000"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","8716"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","9232"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","9464"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","9692"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","10452"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","10908"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","11188"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","11644"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","11712"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","12544"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","13624"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","13648"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","13748"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","14184"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","14672"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","15736"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","16716"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","19188"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","19988"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","21424"
"conhost","C:\WINDOWS\system32\conhost.exe","6052"
"csrss",,"916"
"csrss",,"956"
"ctfmon","C:\WINDOWS\system32\ctfmon.exe","3948"
"dasHost","C:\WINDOWS\system32\dashost.exe","2800"
"Discord","C:\Users\Jefferson Steel Flex\AppData\Local\Discord\app-0.0.309\Discord.exe","8"
